,0
3070,"OECD Real Gross Domestic Product, Annual"
3071,"OECD Real Gross Domestic Product, Percent Change From Prior Year, Annual"
3072,"Cooling Degree Days E. S. Central, Annual"
3073,"Cooling Degree Days E. S. Central, Prior 10-Year Average, Annual"
3074,"Cooling Degree Days Middle Atlantic, Annual"
3075,"Cooling Degree Days Middle Atlantic, Prior 10-Year Average, Annual"
3076,"Cooling Degree Days Mountain, Annual"
3077,"Electric power sector net generation from renewables excluding hydropower, Southwest, Quarterly"
3078,"Electric power sector net generation from renewables excluding hydropower, Texas (ERCOT), Quarterly"
3079,"Electric power sector net generation from renewables excluding hydropower, United States, Quarterly"
3080,"Biodiesel Inventory, Monthly"
3081,"Consumption of Energy from Biomass-based Diesel by All Sectors, Monthly"
3082,"Biodiesel Consumption, Monthly"
3083,"Subtotal Renewable Energy Consumption: Transportation Sector, Monthly"
3084,"Biofuel Losses and Co-products, Monthly"
3085,"Biofuel Total Consumption, Monthly"
3086,"Comm. and Indus. Sectors Total Biomass Net Summer Capacity, Monthly"
3087,"World Real Gross Domestic Product, Annual"
3088,"World Real Gross Domestic Product, Percent Change From Prior Year, Annual"
3089,"Resins and Synthetic Rubber Production Index, Annual"
3090,"Agricultural Chemicals Production Index, Annual"
3091,"Basic Chemical Manufacturing Production Index, Annual"
3092,"Electric power sector net generation from biomass, Northwest, Monthly"
3093,"Electric power sector  consumption of coal, New England (ISO-NE), Monthly"
3094,"Industrial sector net generation from biomass, United States, Monthly"
3095,"Coal-weighted Industrial Production Index, Annual"
3096,"Plastics and Rubber Products Production Index, Annual"
3097,"Stone, Clay, Glass, and Concrete Products Production Index, Annual"
3098,"Primary Metals Production Index, Annual"
3099,"Electric power sector  consumption of coal, Northwest, Monthly"
3100,"Total Raw Steel Production, Annual"
3101,"Electric power sector net generation from renewable energy (all types), California, Annual"
3102,"Electric power sector net generation from renewable energy (all types), Florida (FRCC), Annual"
3103,"Electric power sector net generation from renewable energy (all types), Hawaii and Alaska, Annual"
3104,"Electric power sector net generation from renewable energy (all types), Midwest (Midcontinent ISO), Annual"
3105,"Electric power sector net generation from renewable energy (all types), New England (ISO-NE), Annual"
3106,"Electric power sector net generation from renewable energy (all types), Northwest, Annual"
3107,"Electric power sector net generation from renewable energy (all types), New York (NYISO), Annual"
3108,"Electric power sector net generation from renewable energy (all types), Mid-Atlantic (PJM), Annual"
3109,"Electric power sector net generation from coal, Florida (FRCC), Monthly"
3110,"Net generation from utility-scale solar, all sectors, United States, Annual"
3111,"Generation from Large-Scale Solar by All Sectors, Annual"
3112,"Crude Oil and Liquid Fuels Supply, Total North America, Annual"
3113,"Crude Oil and Liquid Fuels Supply, Total Central and South America, Annual"
3114,"Distillate-weighted Industrial Production Index, Annual"
3115,"Distillate-weighted Industrial Production Index, Annual"
3116,"Electricity-weighted Industrial Production Index, Annual"
3117,"Unfinished Oils Product Supplied, Annual"
3118,"Comm. and Indus. Sectors Wind Net Summer Capacity, Annual"
3119,"Industrial and commercial sector net generation from wind, United States, Annual"
3120,"Commercial sector net generation from wind, United States, Annual"
3121,"Electric Power Sector Consumption of Wind Energy, Annual"
3122,"Electric Power Sector Wind Net Summer Capacity, Annual"
3123,"Producer Price Index: All Commodities, Annual"
3124,"Commercial sector net generation from biomass, United States, Monthly"
3125,"Electric power sector net generation from renewable energy (all types), Southeast (SERC), Annual"
3126,"Electric power sector net generation from renewable energy (all types), Central (SPP ISO), Annual"
3127,"Electric power sector net generation from renewable energy (all types), Southwest, Annual"
3128,"Electric power sector net generation from renewable energy (all types), Texas (ERCOT), Annual"
3129,"Electric power sector net generation from renewable energy (all types), United States, Annual"
3130,"Still Gas Product Supplied, Annual"
3131,"Cooling Degree Days Mountain, Prior 10-Year Average, Annual"
3132,"Cooling Degree Days New England, Annual"
3133,"Cooling Degree Days New England, Prior 10-Year Average, Annual"
3134,"Crude Oil and Liquid Fuels Supply, Total Europe, Annual"
3135,"Crude Oil and Liquid Fuels Supply, Total FSU and Eastern Europe, Annual"
3136,"Crude Oil and Liquid Fuels Supply, Total Middle East , Annual"
3137,"Crude Oil and Liquid Fuels Supply, Total Africa , Annual"
3138,"Crude Oil and Liquid Fuels Supply, Total Asia and Oceania  , Annual"
3139,"Heating Degree Days Pacific, Annual"
3140,"Electric power sector net generation from wind, California, Annual"
3141,"Electric power sector net generation from wind, Florida (FRCC), Annual"
3142,"Electric power sector net generation from wind, Hawaii and Alaska, Annual"
3143,"Electric power sector net generation from wind, Midwest (Midcontinent ISO), Annual"
3144,"Electric power sector net generation from wind, New England (ISO-NE), Annual"
3145,"Electric power sector net generation from wind, Northwest, Annual"
3146,"Electric power sector net generation from wind, New York (NYISO), Annual"
3147,"Electric power sector net generation from wind, Mid-Atlantic (PJM), Annual"
3148,"Electric power sector net generation from wind, Southeast (SERC), Annual"
3149,"Electric power sector net generation from wind, Central (SPP ISO), Annual"
3150,"Electric power sector net generation from wind, Southwest, Annual"
3151,"Electric Power Sector Total Biomass Net Summer Capacity, Monthly"
3152,"Propane PADD 2 (Midwest) Inventory, Monthly"
3153,"Cooling Degree Days Pacific, Annual"
3154,"Cooling Degree Days Pacific, Prior 10-Year Average, Annual"
3155,"Cooling Degree Days South Atlantic, Annual"
3156,"Electric power sector net generation from biomass, New York (NYISO), Monthly"
3157,"Heating Degree Days Pacific, Prior 10-Year Average, Annual"
3158,"Heating Degree Days South Atlantic, Annual"
3159,"Heating Degree Days South Atlantic, Prior 10-Year Average, Annual"
3160,"Industrial and commercial sector net generation from biomass (all types), United States, Monthly"
3161,"Propane PADD 3 (Gulf Coast) Inventory, Monthly"
3162,"Transportation Sector Total Consumption of Renewable Energy, Annual"
3163,"Commercial Sector Total Consumption of Renewable Energy, Annual"
3164,"Electric Power Sector Total Consumption of Renewable Energy, Annual"
3165,"Industrial Sector Total Consumption of Renewable Energy, Annual"
3166,"Residential Sector Total Consumption of Renewable Energy, Annual"
3167,"Electric power sector  consumption of coal, New York (NYISO), Monthly"
3168,"Electric power sector  consumption of coal, Mid-Atlantic (PJM), Monthly"
3169,"Electric power sector net generation from biomass, Southwest, Monthly"
3170,"Propane/Propylene Net Imports, Annual"
3171,"Petroleum Product Net Inventory Withdrawals, Annual"
3172,"Propane/Propylene PADD 1 (East Coast) Inventory, Annual"
3173,"Net generation from biomass, all sectors, United States, Monthly"
3174,"Brent crude oil spot price, Monthly"
3175,"Biodiesel, Renewable Diesel, and Other, Monthly"
3176,"Propane PADD 1 (East Coast) Inventory, Monthly"
3177,"Total Consumption of Renewable Energy by All Sectors, Annual"
3178,"Total Consumption of Renewable Energy for Electricity and Heat Generation, Annual"
3179,"Commercial Sector Generation from Residual Fuel Oil, Annual"
3180,"Industrial Sector Generation from Residual Fuel Oil, Annual"
3181,"West Texas Intermediate Crude Oil Price, Annual"
3182,"Commercial Sector Consumption of Wood and Wood Waste Biomass Energy, Annual"
3183,"Commercial Sector Generation from Wood Biomass, Annual"
3184,"Comm. and Indus. Sectors Wood Biomass Net Summer Capacity, Annual"
3185,"Industrial and commercial sector net generation from wood biomass, United States, Annual"
3186,"Total commercial sector net generation by all energy sources, United States, Quarterly"
3187,"Propane/Propylene PADD 2 (Midwest) Inventory, Annual"
3188,"Propane/Propylene PADD 3 (Gulf Coast) Inventory, Annual"
3189,"Propane/Propylene PADD 4 (Rocky Mountain) Inventory, Annual"
3190,"Propane/Propylene PADD 5 (West Coast) Inventory, Annual"
3191,"Propane/Propylene Oil U.S. Total Inventory, Annual"
3192,"Propane/Propylene Refinery and Blender Net Production, Annual"
3193,"Net Inventory Withdrawals, Total Non-OECD Crude Oil and Other Liquids, Annual"
3194,"Net Inventory Withdrawals, Total Other OECD Crude Oil and Other Liquids, Annual"
3195,"Net Inventory Withdrawals, Total U.S. (50 States) Crude Oil and Other Liquids, Annual"
3196,"Net Inventory Withdrawals, Total World Crude Oil and Other Liquids, Annual"
3197,"Natural Gas-weighted Industrial Production Index, Annual"
3198,"Natural Gas-weighted Industrial Production Index, Annual"
3199,"Refiner Average Crude Oil Acquisition Cost, Annual"
3200,"Refiner Average Crude Oil Acquisition Cost, Annual"
3201,"Imported  Crude Oil Price, Annual"
3202,"Imported  Crude Oil Real Price, Annual"
3203,"Renwable Diesel Net Imports, Annual"
3204,"Renewable Diesel Production, Annual"
3205,"Renewable Diesel Inventory, Annual"
3206,"Industrial Sector Generation from Wood Biomass, Annual"
3207,"Electric Power Sector Wood Biomass Net Summer Capacity, Annual"
3208,"Electric Power Sector Consumption of Wood and Wood Waste Biomass Energy, Annual"
3209,"Electric power sector net generation from wood biomass, United States, Annual"
3210,"Electric Power Sector Generation from Wood Biomass, Annual"
3211,"Commercial Sector Generation from Residual Fuel Oil, Quarterly"
3212,"Petroleum Products Adjustment, Quarterly"
3213,"Industrial sector net generation from nuclear, United States, Quarterly"
3214,"U.S. Households, Quarterly"
3215,"Households W. N. Central, Quarterly"
3216,"Distillate-weighted Industrial Production Index, Quarterly"
3217,"Distillate-weighted Industrial Production Index, Quarterly"
3218,"Renewable Diesel Consumption, Quarterly"
3219,"Net generation from nuclear, all sectors, United States, Quarterly"
3220,"Other HC/Oxygenates Consumption, Quarterly"
3221,"Residual Fuel Oil Stocks, Electric Power Sector, Quarterly"
3222,"Residual Fuel Refinery Output, Quarterly"
3223,"Commercial Sector Generation from Other Petroleum, Quarterly"
3224,"Renewable Fuels Except Fuel Ethanol Refinery and Blender Net Inputs, Quarterly"
3225,"Net generation from renewables excluding hydropower, all sectors, United States, Quarterly"
3226,"Electric power sector net generation from renewable energy (all types), Mid-Atlantic (PJM), Quarterly"
3227,"Electric power sector net generation from renewable energy (all types), Southeast (SERC), Quarterly"
3228,"Electric power sector net generation from renewable energy (all types), Central (SPP ISO), Quarterly"
3229,"Electric power sector net generation from renewable energy (all types), Southwest, Quarterly"
3230,"Electric power sector net generation from renewable energy (all types), Texas (ERCOT), Quarterly"
3231,"Commercial Sector Small-Scale Solar Photovoltaic Capacity, Quarterly"
3232,"Commercial Sector Generation from Small-Scale Solar Photovoltaic, United States, Quarterly"
3233,"Net Inventory Withdrawals, Total Non-OECD Crude Oil and Other Liquids, Quarterly"
3234,"Oxygenates (excluding Fuel Ethanol) Net Imports, Quarterly"
3235,"Oxygenates (excluding Fuel Ethanol) Plant Net Production, Quarterly"
3236,"Oxygenates (excluding Fuel Ethanol) Refinery Input, Quarterly"
3237,"Electric power sector net generation from utility-scale solar, Texas (ERCOT), Quarterly"
3238,"Electric power sector net generation from utility-scale solar, United States, Quarterly"
3239,"Generation from Large-Scale Solar by All Sectors, Quarterly"
3240,"Crude Oil and Liquid Fuels Supply, Total North America, Quarterly"
3241,"Net Inventory Withdrawals, Total Other OECD Crude Oil and Other Liquids, Quarterly"
3242,"Transportation Sector Total Consumption of Renewable Energy, Quarterly"
3243,"Industrial Sector Generation from Other Petroleum, Quarterly"
3244,"OPEC non-Crude Oil Liquids Production, Quarterly"
3245,"Households W. S. Central, Quarterly"
3246,"Electricity-weighted Industrial Production Index, Quarterly"
3247,"Commercial Sector Total Consumption of Renewable Energy, Quarterly"
3248,"Industrial sector consumption of petroleum, United States, Quarterly"
3249,"Industrial sector net generation from petroleum, United States, Quarterly"
3250,"Electric Power Sector Generation from Residual Fuel Oil, Quarterly"
3251,"Cost of Residual Fuel Oil Delivered to Electric Generating Plants, Quarterly"
3252,"Residual Fuel Oil Product Supplied, Quarterly"
3253,"No. 6 Residual Fuel Oil Price, Quarterly"
3254,"Air Travel Capacity, Quarterly"
3255,"Refinery Processing Gain, Quarterly"
3256,"Total Petroleum Net Imports, Quarterly"
3257,"Generation from Renewables (excluding Hydro) by All Sectors, Quarterly"
3258,"Electric power sector net generation from renewable energy (all types), United States, Quarterly"
3259,"Still Gas Product Supplied, Quarterly"
3260,"Industrial Sector Small-Scale Solar Photovoltaic Capacity, Quarterly"
3261,"Industrial Sector Generation from Small-Scale Solar Photovoltaic, United States, Quarterly"
3262,"Net Inventory Withdrawals, Total U.S. (50 States) Crude Oil and Other Liquids, Quarterly"
3263,"Propylene (refinery-grade) Gross Imports, Quarterly"
3264,"Propylene (refinery-grade) PADD 1 (East Coast) Inventory, Quarterly"
3265,"Propylene (refinery-grade) PADD 2 (Midwest) Inventory, Quarterly"
3266,"Propylene (refinery-grade) PADD 3 (Gulf Coast) Inventory, Quarterly"
3267,"Electric Power Sector Generation from Large-Scale Solar, Quarterly"
3268,"Industrial Sector Consumption of Solar Energy, Quarterly"
3269,"Crude Oil and Liquid Fuels Supply, Total Central and South America, Quarterly"
3270,"Crude Oil and Liquid Fuels Supply, Total Europe, Quarterly"
3271,"Net Inventory Withdrawals, Total World Crude Oil and Other Liquids, Quarterly"
3272,"Electric Power Sector Total Consumption of Renewable Energy, Quarterly"
3273,"Commercial sector net generation from other nonrenewable fuels, United States, Quarterly"
3274,"Electric power sector  net generation from other nonrenewable fuels, California, Quarterly"
3275,"Electric power sector  net generation from other nonrenewable fuels, Florida (FRCC), Quarterly"
3276,"Electric power sector  net generation from other nonrenewable fuels, Hawaii and Alaska, Quarterly"
3277,"Natural Gas-weighted Industrial Production Index, Quarterly"
3278,"Natural Gas-weighted Industrial Production Index, Quarterly"
3279,"Industrial Sector Total Consumption of Renewable Energy, Quarterly"
3280,"Aircraft Utilization, Quarterly"
3281,"Generation from Nuclear by All Sectors, Quarterly"
3282,"Residual Fuel Oil Net Imports, Quarterly"
3283,"World Real Gross Domestic Product, Quarterly"
3284,"Commercial sector net generation from renewables excluding hydropower, United States, Quarterly"
3285,"Heating Degree Days New England, Annual"
3286,"Heating Degree Days New England, Prior 10-Year Average, Annual"
3287,"Electric power sector net generation from biomass, Central (SPP ISO), Monthly"
3288,"Total Raw Steel Production, Quarterly"
3289,"Electric power sector net generation from renewable energy (all types), California, Quarterly"
3290,"Electric power sector net generation from renewable energy (all types), Florida (FRCC), Quarterly"
3291,"Commercial Sector Consumption of Solar Energy, Quarterly"
3292,"Transmission & Distribution Losses and Unaccounted For, Quarterly"
3293,"Electric power sector net generation from utility-scale solar, Northwest, Quarterly"
3294,"Electric power sector total net generation from all types of energy sources, Southwest, Quarterly"
3295,"Electric power sector total net generation from all types of energy sources, Texas (ERCOT), Quarterly"
3296,"Industrial sector net generation from utility-scale solar, United States, Quarterly"
3297,"Residential Sector Consumption of Solar Energy, Quarterly"
3298,"Crude Oil and Liquid Fuels Supply, Total FSU and Eastern Europe, Quarterly"
3299,"Crude Oil and Liquid Fuels Supply, Total Middle East , Quarterly"
3300,"Total Transmission and Distribution Losses in United States, Quarterly"
3301,"Residential Sector Total Consumption of Renewable Energy, Quarterly"
3302,"Total electric power sector net generation by all energy sources, United States, Quarterly"
3303,"Coal-weighted Industrial Production Index, Quarterly"
3304,"Refiner Average Crude Oil Acquisition Cost, Quarterly"
3305,"Refiner Average Crude Oil Acquisition Cost, Quarterly"
3306,"Total Consumption of Renewable Energy by All Sectors, Quarterly"
3307,"Total Consumption of Renewable Energy for Electricity and Heat Generation, Quarterly"
3308,"Electric power sector net generation from renewables excluding hydropower, California, Quarterly"
3309,"Electric power sector net generation from renewables excluding hydropower, Florida (FRCC), Quarterly"
3310,"Electric power sector net generation from renewables excluding hydropower, Hawaii and Alaska, Quarterly"
3311,"Renewable Fuels Except Fuel Ethanol Net Imports, Quarterly"
3312,"Residual Fuel Oil Inventory, Quarterly"
3313,"Imported  Crude Oil Price, Quarterly"
3314,"Imported  Crude Oil Real Price, Quarterly"
3315,"World Real Gross Domestic Product, Percent Change From Prior Year, Quarterly"
3316,"Electric power sector net generation from renewables excluding hydropower, Midwest (Midcontinent ISO), Quarterly"
3317,"Electric power sector net generation from renewables excluding hydropower, New England (ISO-NE), Quarterly"
3318,"Residential Sector Small-Scale Solar Photovoltaic Capacity, Quarterly"
3319,"Residential Sector Generation from Small-Scale Solar Photovoltaic, United States, Quarterly"
3320,"Renewable Fuels Except Fuel Ethanol Production, Quarterly"
3321,"Electric power sector net generation from utility-scale solar, New York (NYISO), Quarterly"
3322,"Electric power sector net generation from utility-scale solar, Mid-Atlantic (PJM), Quarterly"
3323,"Electric power sector net generation from renewable energy (all types), Hawaii and Alaska, Quarterly"
3324,"Electric power sector net generation from renewable energy (all types), Midwest (Midcontinent ISO), Quarterly"
3325,"Electric power sector net generation from renewable energy (all types), New England (ISO-NE), Quarterly"
3326,"Electric power sector net generation from renewable energy (all types), Northwest, Quarterly"
3327,"Electric power sector net generation from renewable energy (all types), New York (NYISO), Quarterly"
3328,"Comm. and Indus. Sectors Large-Scale Solar Net Summer Capacity, Quarterly"
3329,"Industrial and commercial sector net generation from utility-scale solar, United States, Quarterly"
3330,"Commercial sector net generation from utility-scale solar, United States, Quarterly"
3331,"Crude Oil and Liquid Fuels Supply, Total Africa , Quarterly"
3332,"Total Energy CO2 Emissions, Quarterly"
3333,"Electric power sector net generation from utility-scale solar, Southeast (SERC), Quarterly"
3334,"Electric power sector net generation from utility-scale solar, Central (SPP ISO), Quarterly"
3335,"Electric power sector net generation from utility-scale solar, Southwest, Quarterly"
3336,"Consumption of Solar Energy by All Sectors, Quarterly"
3337,"Net generation from utility-scale solar, all sectors, United States, Quarterly"
3338,"Crude Oil and Liquid Fuels Supply, Total Asia and Oceania  , Quarterly"
3339,"Renwable Diesel Net Imports, Quarterly"
3340,"Renewable Diesel Production, Quarterly"
3341,"Renewable Diesel Inventory, Quarterly"
3342,"U.S. Total Energy Consumption, Quarterly"
3343,"Electric Power Sector Generation from Petroleum (All Types), Quarterly"
3344,"Refinery Distillation Utilization Factor , Quarterly"
3345,"Unplanned crude oil production disruptions, Norway, Quarterly"
3346,"Unplanned liquid fuel production disruptions, countries outside of the Organization of the Petroleum Exporting Countries, Quarterly"
3347,"Unplanned liquid fuel production disruptions, North Sea, Quarterly"
3348,"Unplanned crude oil production disruptions, Organization of the Petroleum Exporting Countries, Quarterly"
3349,"Electric power sector net generation from nuclear, United States, Quarterly"
3350,"Electric Power Sector Generation from Nuclear, Quarterly"
3351,"Commercial Sector Generation from Petroleum (All Types), Quarterly"
3352,"Unplanned liquid fuel production disruptions, Peru, Quarterly"
3353,"Unplanned liquid fuel production disruptions, Russia, Quarterly"
3354,"Unplanned liquid fuel production disruptions, Saudi Arabia, Quarterly"
3355,"Unplanned liquid fuel production disruptions, Sudan and South Sudan, Quarterly"
3356,"Natural Gas Working Inventory South Central Consuming Region, Quarterly"
3357,"Electric power sector net generation from other gases, United States, Quarterly"
3358,"Electric Power Sector Generation from Other Gases, Quarterly"
3359,"Other HC/Oxygenates Inventory, Quarterly"
3360,"Other HC/Oxygenates Adjustment, Quarterly"
3361,"Net generation from natural gas, all sectors, United States, Quarterly"
3362,"Generation from Natural Gas by All Sectors, Quarterly"
3363,"Hydrocarbon Gas Liquids Net Imports, Quarterly"
3364,"Comm. and Indus. Sectors Waste Biomass Net Summer Capacity, Quarterly"
3365,"Industrial and commercial sector net generation from waste biomass, United States, Quarterly"
3366,"Generation from Other Renewable Sources by All Sectors, Quarterly"
3367,"Oxygenates (excluding Fuel Ethanol) Adjustments, Quarterly"
3368,"Electric power sector net generation from petroleum, Southwest, Quarterly"
3369,"Electric power sector  net generation from other nonrenewable fuels, Southeast (SERC), Quarterly"
3370,"Electric power sector  net generation from other nonrenewable fuels, Central (SPP ISO), Quarterly"
3371,"Electric power sector  net generation from other nonrenewable fuels, Southwest, Quarterly"
3372,"Electric power sector  net generation from other nonrenewable fuels, Texas (ERCOT), Quarterly"
3373,"Electric power sector net generation from other gases, Florida (FRCC), Quarterly"
3374,"Electric power sector net generation from other gases, Hawaii and Alaska, Quarterly"
3375,"Electric power sector net generation from other gases, Midwest (Midcontinent ISO), Quarterly"
3376,"Electric power sector net generation from other gases, New England (ISO-NE), Quarterly"
3377,"Electric power sector net generation from other gases, Northwest, Quarterly"
3378,"Electric power sector net generation from other gases, New York (NYISO), Quarterly"
3379,"Electric power sector net generation from other gases, Mid-Atlantic (PJM), Quarterly"
3380,"Electric Power Sector Waste Biomass Net Summer Capacity, Quarterly"
3381,"Electric power sector  consumption of petroleum, Mid-Atlantic (PJM), Quarterly"
3382,"Electric power sector  consumption of petroleum, Southeast (SERC), Quarterly"
3383,"Electric power sector  consumption of petroleum, Central (SPP ISO), Quarterly"
3384,"Electric power sector  consumption of petroleum, Southwest, Quarterly"
3385,"Electric power sector  consumption of petroleum, Texas (ERCOT), Quarterly"
3386,"Electric power sector net generation from wind, United States, Monthly"
3387,"Heating Degree Days U.S. Average , Monthly"
3388,"Heating Degree Days U.S. Average , Monthly"
3389,"Heating Degree Days E. N. Central, Monthly"
3390,"Heating Degree Days E. N. Central, Prior 10-Year Average, Monthly"
3391,"Heating Degree Days E. S. Central, Monthly"
3392,"Heating Degree Days E. S. Central, Prior 10-Year Average, Monthly"
3393,"Heating Degree Days Middle Atlantic, Monthly"
3394,"Heating Degree Days Middle Atlantic, Prior 10-Year Average, Monthly"
3395,"Heating Degree Days Mountain, Monthly"
3396,"Heating Degree Days Mountain, Prior 10-Year Average, Monthly"
3397,"Heating Degree Days New England, Monthly"
3398,"Heating Degree Days New England, Prior 10-Year Average, Monthly"
3399,"Heating Degree Days Pacific, Monthly"
3400,"Heating Degree Days Pacific, Prior 10-Year Average, Monthly"
3401,"Heating Degree Days South Atlantic, Monthly"
3402,"Heating Degree Days South Atlantic, Prior 10-Year Average, Monthly"
3403,"Heating Degree Days U.S. Average , Prior 10-Year Average, Monthly"
3404,"Heating Degree Days W. N. Central, Monthly"
3405,"Heating Degree Days W. N. Central, Prior 10-Year Average, Monthly"
3406,"Heating Degree Days W. S. Central, Monthly"
3407,"Heating Degree Days W. S. Central, Prior 10-Year Average, Monthly"
3408,"Aviation Gasoline Blend Components Refinery Input, Quarterly"
3409,"Electric Power Sector Generation from Other Nonrenewable Fuels, Quarterly"
3410,"Generation from Other Nonrenewable Fuels by All Sectors, Quarterly"
3411,"Hydrocarbon Gas Liquids Product Supplied, Quarterly"
3412,"Commercial sector net generation from nuclear, United States, Quarterly"
3413,"Electric power sector net generation from nuclear, California, Quarterly"
3414,"Electric power sector net generation from nuclear, Florida (FRCC), Quarterly"
3415,"Industrial sector net generation from wind, United States, Monthly"
3416,"Consumption of Wind Energy by All Sectors, Monthly"
3417,"Net generation from wind, all sectors, United States, Monthly"
3418,"Producer Price Index: Petroleum, Monthly"
3419,"Producer Price Index: All Commodities, Monthly"
3420,"West Texas Intermediate Crude Oil Price, Monthly"
3421,"Commercial Sector Consumption of Wood and Wood Waste Biomass Energy, Monthly"
3422,"Commercial Sector Generation from Wood Biomass, Monthly"
3423,"Commercial sector consumption of petroleum, United States, Quarterly"
3424,"Commercial sector net generation from petroleum, United States, Quarterly"
3425,"Unplanned liquid fuel production disruptions, Syria, Quarterly"
3426,"Unplanned liquid fuel production disruptions, United Kingdom, Quarterly"
3427,"Unplanned liquid fuel production disruptions, United States, Quarterly"
3428,"Unplanned liquid fuel production disruptions, Venezuela, Quarterly"
3429,"Unplanned liquid fuel production disruptions, Yemen, Quarterly"
3430,"Electric power sector  consumption of petroleum, California, Quarterly"
3431,"Electric power sector  consumption of petroleum, Florida (FRCC), Quarterly"
3432,"Industrial sector net generation from other gases, United States, Quarterly"
3433,"Net generation from other gases, all sectors, United States, Quarterly"
3434,"Electric power sector net generation from petroleum, Texas (ERCOT), Quarterly"
3435,"Electric power sector net generation from petroleum, United States, Quarterly"
3436,"Natural Gas Total Inventory, Quarterly"
3437,"Natural Gas Vehicle Use, Quarterly"
3438,"Natural Gas Processing Plant Total Liquids Production, Quarterly"
3439,"Hydrocarbon Gas Liquids Inventory, Quarterly"
3440,"Electric Power Sector Consumption of Non-wood Waste Biomass Energy, Quarterly"
3441,"Electric power sector net generation from waste biomass, United States, Quarterly"
3442,"Butanes Production at Natural Gas Processing Plants, Quarterly"
3443,"Butanes/Butylenes Net Imports, Quarterly"
3444,"Electric power sector net generation from other nonrenewable fuels, United States, Quarterly"
3445,"Industrial sector net generation from other nonrenewable fuels, United States, Quarterly"
3446,"Electric power sector net generation from other gases, Southeast (SERC), Quarterly"
3447,"Electric power sector net generation from other gases, Central (SPP ISO), Quarterly"
3448,"Electric power sector net generation from other gases, Southwest, Quarterly"
3449,"Electric power sector net generation from other gases, Texas (ERCOT), Quarterly"
3450,"Electric power sector  consumption of petroleum, United States, Quarterly"
3451,"Airline Ticket Price Index, Quarterly"
3452,"Electric Power Sector Generation from Other Petroleum, Quarterly"
3453,"Commercial Sector Consumption of Non-wood Waste Biomass Energy, Quarterly"
3454,"Electric power sector net generation from nuclear, Hawaii and Alaska, Quarterly"
3455,"Electric power sector net generation from nuclear, Midwest (Midcontinent ISO), Quarterly"
3456,"Electric power sector net generation from nuclear, New England (ISO-NE), Quarterly"
3457,"Electric power sector net generation from nuclear, Northwest, Quarterly"
3458,"Electric power sector net generation from nuclear, New York (NYISO), Quarterly"
3459,"Electric power sector net generation from nuclear, Mid-Atlantic (PJM), Quarterly"
3460,"Electric power sector net generation from wind, Texas (ERCOT), Monthly"
3461,"Industrial Sector Generation from Petroleum (All Types), Quarterly"
3462,"Unplanned liquid fuel production disruptions, Azerbaijan, Quarterly"
3463,"Unplanned liquid fuel production disruptions, Argentina, Quarterly"
3464,"Unplanned liquid fuel production disruptions, Australia, Quarterly"
3465,"Unplanned liquid fuel production disruptions, Brazil, Quarterly"
3466,"Electric power sector  consumption of petroleum, Hawaii and Alaska, Quarterly"
3467,"Electric power sector  consumption of petroleum, Midwest (Midcontinent ISO), Quarterly"
3468,"Electric power sector  consumption of petroleum, New England (ISO-NE), Quarterly"
3469,"Electric power sector  consumption of petroleum, Northwest, Quarterly"
3470,"Electric power sector  consumption of petroleum, New York (NYISO), Quarterly"
3471,"Generation from Other Gases by All Sectors, Quarterly"
3472,"Commercial sector consumption of coal, United States, Quarterly"
3473,"Commercial sector net generation from coal, United States, Quarterly"
3474,"Natural Gas Working Inventory U.S. Total, Quarterly"
3475,"Hydrocarbon Gas Liquids Refinery and Blender Net Inputs, Quarterly"
3476,"Hydrocarbon Gas Liquids Refinery and Blender Net Production, Quarterly"
3477,"Industrial Sector Consumption of Non-wood Waste Biomass Energy, Quarterly"
3478,"Propylene (refinery-grade) US Total Inventory, Quarterly"
3479,"Propylene Refinery and Blender Net Production, Quarterly"
3480,"Natural Gas Working Inventory Alaska, Quarterly"
3481,"Other Biofuels Net Imports, Quarterly"
3482,"Other Biofuels Production, Quarterly"
3483,"Other Biofuels Inventory, Quarterly"
3484,"Other Biofuels Consumption, Quarterly"
3485,"Commercial Sector Generation from Other Nonrenewable Fuels, Quarterly"
3486,"Unplanned crude oil production disruptions, Iran, Quarterly"
3487,"Unplanned crude oil production disruptions, Iraq, Quarterly"
3488,"Unplanned crude oil production disruptions, Kuwait, Quarterly"
3489,"Electric power sector net generation from petroleum, California, Quarterly"
3490,"Electric power sector net generation from petroleum, Florida (FRCC), Quarterly"
3491,"Electric power sector net generation from petroleum, Hawaii and Alaska, Quarterly"
3492,"Electric power sector net generation from petroleum, Midwest (Midcontinent ISO), Quarterly"
3493,"Electric power sector net generation from petroleum, New England (ISO-NE), Quarterly"
3494,"Propylene (refinery-grade) Consumption, Quarterly"
3495,"Petroleum Product Net Imports, Quarterly"
3496,"Refinery Operable Distillation Capacity  , Quarterly"
3497,"Electric Power Sector Generation from Other Renewables, Quarterly"
3498,"Unplanned crude oil production disruptions, Libya, Quarterly"
3499,"Unplanned liquid fuel production disruptions, Mexico, Quarterly"
3500,"Unplanned crude oil production disruptions, Nigeria, Quarterly"
3501,"Natural Gas Working Inventory Midwest Region, Quarterly"
3502,"Electric power sector net generation from nuclear, Southeast (SERC), Quarterly"
3503,"Electric power sector net generation from nuclear, Central (SPP ISO), Quarterly"
